#Data for Milano Senato, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.470501, longitude 9.19746075
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,17,17,17,23,23,23,44,44,44,0.6,0.6,0.6
2020-03-31,"-","-","-","-","-","-",26,26,26,0.5,0.5,0.5
2020-03-30,"-","-","-","-","-","-",38,38,38,0.6,0.6,0.6
2020-03-29,24,24,24,88,88,88,50,50,50,0.7,0.7,0.7
2020-03-28,24,24,24,87,87,87,55,55,55,0.6,0.6,0.6
2020-03-27,"-","-","-","-","-","-",43,43,43,0.5,0.5,0.5
2020-03-26,16,16,16,23,23,23,43,43,43,0.4,0.4,0.4
2020-03-25,14,14,14,21,21,21,38,38,38,0.3,0.3,0.3
2020-03-24,15,15,15,24,24,24,53,53,53,0.6,0.6,0.6
2020-03-23,13,13,13,22,22,22,36,36,36,0.5,0.5,0.5
2020-03-22,25,25,25,32,32,32,20,20,20,0.6,0.6,0.6
2020-03-21,25,25,25,36,36,36,58,58,58,0.7,0.7,0.7
2020-03-20,41,41,41,53,53,53,78,78,78,0.9,0.9,0.9
2020-03-19,36,36,36,46,46,46,86,86,86,0.9,0.9,0.9
2020-03-18,40,40,40,49,49,49,84,84,84,0.8,0.8,0.8
2020-03-17,34,34,34,43,43,43,58,58,58,0.7,0.7,0.7
2020-03-16,26,26,26,30,30,30,57,57,57,0.6,0.6,0.6
2020-03-15,19,19,19,25,25,25,50,50,50,0.6,0.6,0.6
2020-03-14,32,32,32,29,29,29,33,33,33,0.6,0.6,0.6
2020-03-13,7,7,7,16,16,16,51,51,51,0.6,0.6,0.6
2020-03-12,19,19,19,31,31,31,67,67,67,0.7,0.7,0.7
2020-03-11,12,12,12,25,25,25,76,76,76,0.8,0.8,0.8
2020-03-10,22,22,22,34,34,34,86,86,86,0.8,0.8,0.8
2020-03-09,24,24,24,32,32,32,72,72,72,0.6,0.6,0.6
2020-03-08,18,18,18,22,22,22,67,67,67,0.6,0.6,0.6
2020-03-07,31,31,31,37,37,37,84,84,84,0.9,0.9,0.9
2020-03-06,23,23,23,31,31,31,73,73,73,0.7,0.7,0.7
2020-03-05,19,19,19,27,27,27,69,69,69,0.6,0.6,0.6
2020-03-04,23,23,23,29,29,29,90,90,90,1,1,1
2020-03-03,21,21,21,26,26,26,71,71,71,1.4,1.4,1.4
2020-03-02,27,27,27,33,33,33,54,54,54,1.4,1.4,1.4
2020-03-01,31,31,31,38,38,38,41,41,41,1.3,1.3,1.3
2020-02-29,21,21,21,31,31,31,68,68,68,1.3,1.3,1.3
2020-02-28,10,10,10,17,17,17,80,80,80,1.3,1.3,1.3
2020-02-27,9,9,9,19,19,19,78,78,78,1.2,1.2,1.2
2020-02-26,30,30,30,44,44,44,53,53,53,1.5,1.5,1.5
2020-02-25,51,51,51,75,75,75,77,77,77,1.5,1.5,1.5
2020-02-24,37,37,37,53,53,53,67,67,67,1.4,1.4,1.4
2020-02-23,38,38,38,52,52,52,76,76,76,1.4,1.4,1.4
2020-02-22,43,43,43,65,65,65,86,86,86,1.4,1.4,1.4
2020-02-21,35,35,35,56,56,56,87,87,87,1.6,1.6,1.6
2020-02-20,17,17,17,32,32,32,90,90,90,1.4,1.4,1.4
2020-02-19,47,47,47,64,64,64,91,91,91,1.7,1.7,1.7
2020-02-18,52,52,52,69,69,69,71,71,71,1.6,1.6,1.6
2020-02-17,44,44,44,56,56,56,77,77,77,1.5,1.5,1.5
2020-02-16,62,62,62,64,64,64,72,72,72,1.7,1.7,1.7
2020-02-15,51,51,51,68,68,68,78,78,78,1.6,1.6,1.6
2020-02-14,33,33,33,37,37,37,92,92,92,1.6,1.6,1.6
2020-02-13,23,23,23,49,49,49,74,74,74,1.1,1.1,1.1
2020-02-12,16,16,16,31,31,31,112,112,112,1.5,1.5,1.5
2020-02-11,29,29,29,45,45,45,87,87,87,1.7,1.7,1.7
2020-02-10,60,60,60,73,73,73,77,77,77,1.6,1.6,1.6
2020-02-09,69,69,69,86,86,86,90,90,90,1.7,1.7,1.7
2020-02-08,46,46,46,64,64,64,90,90,90,1.3,1.3,1.3
2020-02-07,33,33,33,54,54,54,107,107,107,1.4,1.4,1.4
2020-02-06,25,25,25,36,36,36,90,90,90,1.1,1.1,1.1
2020-02-05,17,17,17,25,25,25,95,95,95,0.9,0.9,0.9
2020-02-04,35,35,35,52,52,52,49,49,49,1,1,1
