#Data for Dalmine via Verdi, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.64971, longitude 9.60123469
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,20,20,20,22,22,22,34,34,34,0.5,0.5,0.5
2020-03-31,11,11,11,13,13,13,30,30,30,0.5,0.5,0.5
2020-03-30,17,17,17,21,21,21,28,28,28,0.4,0.4,0.4
2020-03-29,40,40,40,64,64,64,22,22,22,0.6,0.6,0.6
2020-03-28,53,53,53,91,91,91,38,38,38,0.5,0.5,0.5
2020-03-27,28,28,28,39,39,39,26,26,26,0.4,0.4,0.4
2020-03-26,23,23,23,27,27,27,29,29,29,0.4,0.4,0.4
2020-03-25,20,20,20,24,24,24,25,25,25,0.4,0.4,0.4
2020-03-24,22,22,22,27,27,27,52,52,52,0.5,0.5,0.5
2020-03-23,16,16,16,21,21,21,27,27,27,0.4,0.4,0.4
2020-03-22,28,28,28,29,29,29,16,16,16,0.4,0.4,0.4
2020-03-21,28,28,28,28,28,28,21,21,21,0.4,0.4,0.4
2020-03-20,35,35,35,40,40,40,43,43,43,0.4,0.4,0.4
2020-03-19,28,28,28,31,31,31,72,72,72,0.4,0.4,0.4
2020-03-18,39,39,39,46,46,46,62,62,62,0.5,0.5,0.5
2020-03-17,37,37,37,36,36,36,75,75,75,0.4,0.4,0.4
2020-03-16,19,19,19,25,25,25,65,65,65,0.4,0.4,0.4
2020-03-15,14,14,14,17,17,17,37,37,37,0.3,0.3,0.3
2020-03-14,30,30,30,36,36,36,33,33,33,0.4,0.4,0.4
2020-03-13,24,24,24,34,34,34,39,39,39,0.3,0.3,0.3
2020-03-12,33,33,33,40,40,40,47,47,47,0.5,0.5,0.5
2020-03-11,25,25,25,28,28,28,81,81,81,0.4,0.4,0.4
2020-03-10,20,20,20,19,19,19,48,48,48,0.7,0.7,0.7
2020-03-09,35,35,35,38,38,38,70,70,70,0.7,0.7,0.7
2020-03-08,15,15,15,"-","-","-",77,77,77,0.7,0.7,0.7
2020-03-07,23,23,23,26,26,26,75,75,75,0.8,0.8,0.8
2020-03-06,31,31,31,136,136,136,66,66,66,0.7,0.7,0.7
2020-03-05,30,30,30,35,35,35,58,58,58,0.7,0.7,0.7
2020-03-04,14,14,14,17,17,17,83,83,83,0.8,0.8,0.8
2020-03-03,"-","-","-",6,6,6,64,64,64,0.8,0.8,0.8
2020-03-02,31,31,31,30,30,30,57,57,57,0.6,0.6,0.6
2020-03-01,24,24,24,24,24,24,37,37,37,0.5,0.5,0.5
2020-02-29,24,24,24,27,27,27,66,66,66,0.6,0.6,0.6
2020-02-28,11,11,11,10,10,10,102,102,102,0.6,0.6,0.6
2020-02-27,8,8,8,13,13,13,52,52,52,0.4,0.4,0.4
2020-02-26,24,24,24,28,28,28,47,47,47,0.9,0.9,0.9
2020-02-25,45,45,45,56,56,56,59,59,59,0.9,0.9,0.9
2020-02-24,48,48,48,55,55,55,58,58,58,0.8,0.8,0.8
2020-02-23,37,37,37,42,42,42,45,45,45,1,1,1
2020-02-22,42,42,42,49,49,49,94,94,94,0.9,0.9,0.9
2020-02-21,36,36,36,44,44,44,94,94,94,0.9,0.9,0.9
2020-02-20,21,21,21,22,22,22,96,96,96,0.8,0.8,0.8
2020-02-19,34,34,34,36,36,36,62,62,62,1,1,1
2020-02-18,55,55,55,62,62,62,90,90,90,1,1,1
2020-02-17,62,62,62,72,72,72,73,73,73,1.1,1.1,1.1
2020-02-16,59,59,59,65,65,65,83,83,83,1,1,1
2020-02-15,36,36,36,41,41,41,80,80,80,0.9,0.9,0.9
2020-02-14,34,34,34,38,38,38,86,86,86,0.8,0.8,0.8
2020-02-13,32,32,32,37,37,37,90,90,90,0.7,0.7,0.7
2020-02-12,6,6,6,9,9,9,72,72,72,0.5,0.5,0.5
2020-02-11,18,18,18,21,21,21,54,54,54,1,1,1
2020-02-10,55,55,55,57,57,57,80,80,80,1,1,1
2020-02-09,66,66,66,72,72,72,76,76,76,1,1,1
2020-02-08,43,43,43,51,51,51,98,98,98,1,1,1
2020-02-07,26,26,26,33,33,33,123,123,123,0.9,0.9,0.9
2020-02-06,23,23,23,27,27,27,88,88,88,0.7,0.7,0.7
2020-02-05,11,11,11,12,12,12,80,80,80,0.5,0.5,0.5
2020-02-04,24,24,24,23,23,23,47,47,47,0.7,0.7,0.7
2020-02-03,38,38,38,47,47,47,64,64,64,1.1,1.1,1.1
2020-02-02,38,38,38,41,41,41,45,45,45,1.2,1.2,1.2
2020-02-01,73,73,73,83,83,83,70,70,70,1.2,1.2,1.2
2020-01-31,44,44,44,55,55,55,103,103,103,1.2,1.2,1.2
2020-01-30,40,40,40,49,49,49,100,100,100,1.2,1.2,1.2
2020-01-29,16,16,16,21,21,21,82,82,82,1.1,1.1,1.1
